State_caps_name,State_lower_name,State_abbr_name,State_short_name,Coal_Consumption_2018_all_sectors_thousand_tons,Coal_Consumption_2014_all_sectors_thousand_tons,Production_US_Share,Production_Rank,Consumption_per_Capita_Million_Btu,Consumption_per_Capita_Rank,Expenditures_per_Capita_Dollars,Expenditures_per_Capita_Rank
ALASKA,Alaska,AK,Alaska,941.94,885.559,1.7,13,809,3,6241,2
ALABAMA,Alabama,AL,Ala.,16336.245,24169.776,1.3,16,398,12,3969,8
ARKANSAS,Arkansas,AR,Ark.,17523.535,19368.424,1.3,15,354,17,3448,22
ARIZONA,Arizona,AZ,Ariz.,16813.552,22911.006,0.7,29,213,43,2758,48
CALIFORNIA,California,CA,Calif.,635.12,878.434,2.9,10,199,48,2872,44
COLORADO,Colorado,CO,Colo.,15354.101,17944.255,3.7,7,268,34,2681,49
CONNECTICUT,Connecticut,CT,Conn.,220.578,499.319,0.2,40,202,47,3282,27
DELAWARE,Delaware,DE,Del.,166.596,397.113,0,50,287,29,3281,28
FLORIDA,Florida,FL,Fla.,13495.08899,23309.82487,0.7,30,205,46,2525,50
GEORGIA,Georgia,GA,Ga.,17216.528,23254.481,0.8,28,275,33,3022,37
HAWAII,Hawaii,HI,Hawaii,734.351,830.572,0,48,198,49,3526,20
IOWA,Iowa,IA,Iowa,18645.376,22690.389,1,23,489,5,4052,6
IDAHO,Idaho,ID,Idaho,57.168,214.062,0.2,43,315,23,3374,23
ILLINOIS,Illinois,IL,Ill.,38203.295,54532.329,2.9,12,304,25,2924,39
INDIANA,Indiana,IN,Ind.,39214.156,48721.53362,1.1,19,422,9,3787,15
KANSAS,Kansas,KS,Kan.,13136.167,18198.644,0.9,24,376,16,3621,18
KENTUCKY,Kentucky,KY,Ky.,28566.789,39213.757,1.5,14,384,14,3650,17
LOUISIANA,Louisiana,LA,La.,8110.98,12632.39,3,9,897,1,5637,4
MASSACHUSETTS,Massachusetts,MA,Mass.,0,1295.367,0.1,45,209,44,3155,31
MARYLAND,Maryland,MD,Md.,4669.129,7778.429,0.3,38,226,41,2925,38
MAINE,Maine,ME,Maine,80.358,85.463,0.2,44,292,28,3968,9
MICHIGAN,Michigan,MI,Mich.,24737.628,29790.04,0.8,26,277,32,3082,35
MINNESOTA,Minnesota,MN,Minn.,14656.825,17624.789,0.6,32,327,20,3319,25
MISSOURI,Missouri,MO,Mo.,37138.75,43226.403,0.2,41,292,27,3262,29
MISSISSIPPI,Mississippi,MS,Miss.,4505.93,6550.473,0.4,36,391,13,3949,11
MONTANA,Montana,MT,Mont.,8747.031,10225.201,1,21,380,15,3826,14
NORTH CAROLINA,North Carolina,NC,N.C.,12959.743,20108.751,0.8,27,251,37,2888,42
NORTH DAKOTA,North Dakota,ND,N.D.,23346.731,22543.47,4.2,6,776,4,6072,3
NEBRASKA,Nebraska,NE,Neb.,15077.461,15816.061,0.5,34,455,7,3962,10
NEW HAMPSHIRE,New Hampshire,NH,N.H.,286.741,543.854,0.2,42,225,42,3515,21
NEW JERSEY,New Jersey,NJ,N.J.,648.154,1213.927,0.4,35,247,38,3124,32
NEW MEXICO,New Mexico,NM,N.M.,7261.657,11913.479,3.1,8,320,21,3089,34
NEVADA,Nevada,NV,Nev.,1411.665,3445.862,0.1,46,231,40,2820,46
NEW YORK,New York,NY,N.Y.,285.054,2463.792,1,22,185,50,2524,51
OHIO,Ohio,OH,Ohio,25177.697,38847.54,2.9,11,317,22,3255,30
OKLAHOMA,Oklahoma,OK,Okla.,9802.752,19256.797,4.8,4,417,11,3759,16
OREGON,Oregon,OR,Ore.,895.208,1853.491,0.5,33,239,39,2885,43
PENNSYLVANIA,Pennsylvania,PA,Pa.,23594.825,39023.617,9.4,2,294,26,3108,33
RHODE ISLAND,Rhode Island,RI,R.I.,0,0,0,49,176,51,2866,45
SOUTH CAROLINA,South Carolina,SC,S.C.,8305.206,12076.83,0.8,25,333,18,3569,19
SOUTH DAKOTA,South Dakota,SD,S.D.,1519.116,1780.371,0.3,39,445,8,4098,5
TENNESSEE,Tennessee,TN,Tenn.,11198.51,19576.131,0.6,31,333,19,3374,24
TEXAS,Texas,TX,Texas,75688.982,101657.503,20.3,1,472,6,4004,7
UTAH,Utah,UT,Utah,12331.68,15314.291,1.1,18,266,35,2773,47
VIRGINIA,Virginia,VA,Va.,5110.883,10396.76,1.1,20,277,31,3024,36
VERMONT,Vermont,VT,Vt.,0,0,0,47,206,45,3830,13
WASHINGTON,Washington,WA,Wash.,3701.899,4593.124,1.2,17,283,30,2922,40
WISCONSIN,Wisconsin,WI,Wis.,20154.818,22255.395,0.4,37,309,24,3313,26
WEST VIRGINIA,West Virginia,WV,W.Va.,25710.645,32355.904,4.5,5,419,10,3910,12
WYOMING,Wyoming,WY,Wyo.,25176.927,27476.01,8.9,3,860,2,6813,1
